sampleName	DepthPG	sampleType
YN.Fo17	780.082991409629	Forest
YN.Fo20	1064.6520773648	Forest
YN.Fo25	691.66614345215	Forest
YN.Fo27	904.326332293201	Forest
YN.Fo30	869.363592899735	Forest
YN.Fo36	647.813595297456	Forest
YN.Fo37	820.343949249855	Forest
YN.Fo40	796.392100730155	Forest
YN.Fo5	333.182436605445	Forest
YN.Fo7	788.06794562266	Forest
YN.T10	1002.36916197891	Tailings
YN.T15	1165.20764239979	Tailings
YN.T17	459.113025086147	Tailings
YN.T20	551.312477848333	Tailings
YN.T25	1319.76101784115	Tailings
YN.T27	1004.3290569339	Tailings
YN.T30	1241.43545826591	Tailings
YN.T35	2799.5056069618	Tailings
YN.T37	2885.59791357217	Tailings
YN.T39	2542.05388678448	Tailings
YN.T5	874.415754428601	Tailings
YN.T7	939.91574962292	Tailings
YQ.Fa10	950.002174373693	Farmland
YQ.Fa5	973.557633577894	Farmland
YQ.Fa6	930.032965735294	Farmland
YQ.Fo10	916.548326382861	Forest
YQ.Fo5	799.727469570307	Forest
YQ.Fo7	946.680917693579	Forest
YQ.T10	510.988243452791	Tailings
YQ.T8	782.458347630389	Tailings
YQ.T9	1489.47054641054	Tailings
ZJ.Fa6	775.255987224768	Farmland
ZJ.Fa7	742.762591847493	Farmland
ZJ.Fa9	615.949642501515	Farmland
ZJ.Fo5	596.445036180461	Forest
ZJ.Fo7	557.530549018522	Forest
ZJ.Fo9	613.068888535056	Forest
ZJ.T7	1712.5638144241	Tailings
